SP_ID,wbID,stroke_exp,pop,y,Townsend.class,NOx.class,Townsend,NOx
05CGFA01,630,2.620953252,931.65,3,"[-6.54,-2.07]","(41.4,53.6]",1,2
05CGFA02,421,1.989744187,710.36,1,"(-2.07,0.086]","(82.1,243]",2,5
05CGFA03,143,2.286056033,654.12,3,"(0.086,3.11]","(82.1,243]",3,5
05CGFA04,676,2.151745813,1109.37,0,"(-2.07,0.086]","(82.1,243]",2,5
05CGFA05,661,4.380834231,1159.31,1,"(-2.07,0.086]","(53.6,64.8]",2,3
05CGFA06,878,3.09495364,1020.21,5,"[-6.54,-2.07]","(53.6,64.8]",1,3
05CGFA07,415,8.524773222,1513.75,1,"(0.086,3.11]","(41.4,53.6]",3,2
05CGFA08,884,3.966622776,1159.66,11,"(-2.07,0.086]","(41.4,53.6]",2,2
05CGFA09,153,2.156440443,1219.78,1,"(-2.07,0.086]","(53.6,64.8]",2,3
05CGFA10,712,2.522882198,1068.9,3,"(-2.07,0.086]","(64.8,82.1]",2,4
05CGFA11,62,2.566883456,1374.69,4,"(0.086,3.11]","(64.8,82.1]",3,4
05CGFA12,713,3.262822757,898.04,3,"(-2.07,0.086]","(64.8,82.1]",2,4
05CGFA13,117,5.220843245,1510.25,12,"[-6.54,-2.07]","(53.6,64.8]",1,3
05CGFA14,423,4.41029567,1184.51,2,"[-6.54,-2.07]","(53.6,64.8]",1,3
05CGFA15,60,2.925478267,833.92,2,"(-2.07,0.086]","(53.6,64.8]",2,3
05CGFA16,112,2.375707574,918.65,2,"[-6.54,-2.07]","(64.8,82.1]",1,4
05CGFA17,422,2.687291984,914.03,5,"(-2.07,0.086]","(53.6,64.8]",2,3
05CGFA18,510,3.122287537,987.69,1,"(-2.07,0.086]","(53.6,64.8]",2,3
05CGFA19,509,2.866227583,798.07,1,"(-2.07,0.086]","(64.8,82.1]",2,4
05CGFA20,696,2.302691407,564.55,2,"[-6.54,-2.07]","(64.8,82.1]",1,4
05CGFA21,902,3.735562341,1129.16,2,"[-6.54,-2.07]","(41.4,53.6]",1,2
05CGFA22,369,6.217194176,1669.95,4,"[-6.54,-2.07]","(53.6,64.8]",1,3
05CGFA23,482,2.212298028,880.54,1,"[-6.54,-2.07]","(64.8,82.1]",1,4
