"","Serving Size","Calories","Total Fat (g)","Saturated Fat (g)","Trans Fat (g)","Cholesterol (mg)","Sodium (mg)","Carbohydrates (g)","Dietary Fiber (g)","Sugars (g)","Protein (g)","Vitamin A (%DV)","Vitamin C (%DV)","Calcium  (%DV)","Iron  (%DV)","Type"
"Angus Bacon & Cheese",290,790,39,18,2,150,1990,63,4,13,45,10,4,30,35,"Burgers & Sandwiches"
"Angus Deluxe",316,760,39,17,2,135,1640,61,4,10,40,15,8,30,35,"Burgers & Sandwiches"
"Angus Mushroom & Swiss",283,770,40,17,2,135,1170,59,4,8,44,8,0,40,35,"Burgers & Sandwiches"
"Big Mac",215,550,29,10,1,75,970,46,3,9,25,4,2,25,25,"Burgers & Sandwiches"
"Quarter Pounder with Cheese+",202,520,26,12,1.5,95,1100,41,3,10,30,10,2,30,25,"Burgers & Sandwiches"
"Double Quarter Pounder with Cheese++",283,750,43,19,2.5,160,1280,42,3,10,48,10,2,30,35,"Burgers & Sandwiches"
"Hamburger",100,250,9,3.5,0.5,25,480,31,2,6,12,2,2,10,15,"Burgers & Sandwiches"
"Cheeseburger",114,300,12,6,0.5,40,680,33,2,7,15,6,2,20,15,"Burgers & Sandwiches"
"Grilled Onion Cheddar",115,310,13,6,0.5,40,660,33,2,7,15,2,0,20,15,"Burgers & Sandwiches"
"Double Cheeseburger",165,440,23,11,1.5,80,1050,34,2,7,25,8,2,30,20,"Burgers & Sandwiches"
"McDouble",151,390,19,8,1,65,850,33,2,7,23,6,2,20,20,"Burgers & Sandwiches"
"Daily Double",194,440,24,9,1.5,70,770,33,2,7,23,6,6,20,20,"Burgers & Sandwiches"
"Premium Crispy Chicken Classic Sandwich",213,510,22,3.5,0,45,990,55,3,10,24,4,6,15,20,"Burgers & Sandwiches"
"Premium Grilled Chicken Classic Sandwich",200,350,9,2,0,65,820,42,3,8,28,4,8,15,20,"Burgers & Sandwiches"
"Premium Crispy Chicken Club Sandwich",237,620,29,7,0,70,1200,57,3,11,31,8,6,30,20,"Burgers & Sandwiches"
"Premium Grilled Chicken Club Sandwich",223,460,16,6,0,90,1030,43,3,9,35,8,8,30,20,"Burgers & Sandwiches"
"Premium Crispy Chicken Ranch BLT",215,540,23,4.5,0,55,1170,56,3,11,27,4,6,15,20,"Burgers & Sandwiches"
"Premium Grilled Chicken Ranch BLT",202,380,10,3,0,75,1000,42,3,9,31,4,8,15,20,"Burgers & Sandwiches"
"McChicken",143,360,16,3,0,35,800,40,2,5,14,0,2,10,15,"Burgers & Sandwiches"
"Southern Style Crispy Chicken Sandwich",159,420,19,3,0,45,900,43,2,7,21,2,2,15,15,"Burgers & Sandwiches"
"Filet-O-Fish",142,390,19,4,0,40,590,39,2,5,15,2,0,15,10,"Burgers & Sandwiches"
"McRib",208,500,26,10,0,70,980,44,3,11,22,2,2,15,20,"Burgers & Sandwiches"
"Chicken Selects Premium Breast Strips (3 pc)",124,380,23,3.5,0,55,750,21,1,0,23,0,4,2,4,"Chicken"
"Fish McBites Regular Size",147,370,20,2.5,0,35,630,31,2,1,17,0,0,4,6,"Chicken"
"Chicken McNuggets (10 piece)",162,470,30,5,0,65,900,30,2,0,22,0,4,2,6,"Chicken"
"Spicy Chicken McBites Snack Size",85,270,17,3,0,35,600,18,0,0,14,4,0,2,2,"Chicken"
"Egg McMuffin",138,300,12,5,0,260,780,30,2,3,18,10,0,30,15,"Breakfast"
"Sausage McMuffin",114,370,22,8,0,45,820,29,2,2,14,6,2,25,15,"Breakfast"
"Sausage McMuffin with Egg",164,450,27,10,0,285,890,30,2,2,21,10,2,30,20,"Breakfast"
"Bacon, Egg & Cheese Biscuit (Regular Size Biscuit)",140,420,23,12,0,240,1130,38,2,3,15,10,0,15,15,"Breakfast"
"Sausage Biscuit (Regular Size Biscuit)",117,430,27,12,0,30,1080,34,2,2,11,0,0,6,15,"Breakfast"
"Sausage Biscuit with Egg (Regular Size Biscuit)",163,510,33,14,0,250,1170,36,2,2,18,6,0,10,20,"Breakfast"
"Bacon, Egg & Cheese McGriddles",164,410,18,8,0,240,1080,48,2,15,15,10,0,20,15,"Breakfast"
"Sausage McGriddles",141,420,22,8,0,35,1030,44,2,15,11,0,0,8,10,"Breakfast"
"Sausage, Egg & Cheese McGriddles",201,550,31,12,0,265,1320,48,2,15,20,10,0,20,15,"Breakfast"
"Big Breakfast (Regular Size Biscuit)",269,740,48,17,0,555,1560,51,3,3,28,15,2,15,25,"Breakfast"
"Big Breakfast with Hotcakes (Regular Size Biscuit)",420,1090,56,19,0,575,2150,111,6,17,36,15,2,25,40,"Breakfast"
"Cinnamon Melts",114,460,19,9,0,15,370,66,3,32,6,4,0,6,15,"Breakfast"
"Hotcakes",151,350,9,2,0,20,590,60,3,14,8,0,0,15,15,"Breakfast"
"Hotcakes and Sausage",192,520,24,7,0,50,930,61,3,14,15,0,0,15,15,"Breakfast"
"Bacon, Egg & Cheese Bagel",185,570,27,9,0.5,260,1230,56,3,7,24,20,2,20,20,"Breakfast"
"Southern Style Chicken Biscuit (Regular Size Biscuit)",143,410,20,8,0,30,1180,41,2,3,17,0,2,6,15,"Breakfast"
"Sausage Burrito",111,300,16,7,0,115,790,26,1,2,12,10,2,15,15,"Breakfast"
"Hash Brown",56,150,9,1.5,0,0,310,15,2,0,1,0,2,0,2,"Breakfast"
"Fruit & Maple Oatmeal",253,290,4.5,2,0,10,160,57,5,32,5,2,130,10,10,"Breakfast"
"Premium Bacon Ranch Salad (without chicken)",223,140,7,3.5,0,25,300,10,3,4,9,160,30,15,8,"Salads"
"Premium Bacon Ranch Salad with Crispy Chicken",319,390,22,6,0,70,870,24,4,7,26,160,35,15,10,"Salads"
"Premium Bacon Ranch Salad with Grilled Chicken",306,230,9,4,0,85,700,10,4,5,30,160,35,15,10,"Salads"
"Premium Caesar Salad (without chicken)",213,90,4,2.5,0,10,180,9,3,4,7,160,30,20,8,"Salads"
"Premium Caesar Salad with Crispy Chicken",309,350,18,4.5,0,55,740,24,4,7,23,160,35,20,10,"Salads"
"Premium Caesar Salad with Grilled Chicken",296,190,5,3,0,70,580,10,4,5,27,160,35,20,10,"Salads"
"Premium Southwest Salad (without chicken)",230,140,4.5,2,0,10,150,20,6,6,6,160,25,15,10,"Salads"
"Premium Southwest Salad with Crispy Chicken",350,450,21,4.5,0,50,820,42,7,13,23,160,30,15,15,"Salads"
"Premium Southwest Salad with Grilled Chicken",335,290,8,2.5,0,70,650,28,7,11,27,160,35,15,15,"Salads"
"Side Salad",87,20,0,0,0,0,10,4,1,2,1,45,25,2,4,"Salads"
"Apple Slices",34,15,0,0,0,0,0,4,0,3,0,0,160,2,0,"Snacks & Sides"
"Snack Size Fruit & Walnuts",163,210,8,1.5,0,5,60,31,2,25,4,0,170,8,2,"Snacks & Sides"
"Chipotle BBQ Snack Wrap (Crispy)",117,330,15,4.5,0,30,720,34,1,4,14,4,2,10,10,"Snacks & Sides"
"Chipotle BBQ Snack Wrap (Grilled)",117,250,8,3.5,0,40,670,27,1,5,16,4,2,10,10,"Snacks & Sides"
"Honey Mustard Snack Wrap (Crispy)",116,330,15,4.5,0,30,700,33,1,2,14,2,2,10,10,"Snacks & Sides"
"Honey Mustard Snack Wrap (Grilled)",116,250,8,3.5,0,45,650,27,1,2,16,2,2,10,10,"Snacks & Sides"
"Ranch Snack Wrap (Crispy)",118,350,19,5,0,35,750,32,1,2,14,2,2,10,10,"Snacks & Sides"
"Ranch Snack Wrap (Grilled)",118,270,12,4,0,45,700,25,1,2,16,2,2,10,10,"Snacks & Sides"
"Mac Snack Wrap",125,330,19,7,1,45,670,26,1,3,14,2,0,8,15,"Snacks & Sides"
"Medium French Fries",117,380,19,2.5,0,0,270,48,5,0,4,0,15,2,6,"Snacks & Sides"
"Vanilla Reduced Fat Ice Cream Cone",105,170,4.5,3,0,15,70,27,0,20,5,6,0,15,2,"Desserts/Shakes"
"Kiddie Cone",29,45,1.5,1,0,5,20,7,0,6,1,2,0,4,0,"Desserts/Shakes"
"Hot Fudge Sundae",179,330,9,7,0,25,170,53,1,48,8,8,0,25,8,"Desserts/Shakes"
"Hot Caramel Sundae",182,340,8,5,0,30,150,60,0,43,7,10,0,25,0,"Desserts/Shakes"
"Strawberry Sundae",178,280,6,4,0,25,85,49,0,45,6,8,4,20,0,"Desserts/Shakes"
"Baked Hot Apple Pie",77,250,13,7,0,0,170,32,4,13,2,4,25,2,6,"Desserts/Shakes"
"Chocolate Chip Cookie",33,160,8,3.5,0,10,90,21,1,15,2,2,0,2,8,"Desserts/Shakes"
"Oatmeal Raisin Cookie",33,150,6,2.5,0,10,135,22,1,13,2,2,0,2,6,"Desserts/Shakes"
"Sugar Cookie",33,160,7,3,0,5,120,21,0,11,2,2,0,0,4,"Desserts/Shakes"
"Fruit 'n Yogurt Parfait",149,150,2,1,0,5,70,30,1,23,4,2,15,10,4,"Desserts/Shakes"
"Snack Size McFlurry with M&M'S Candies",207,430,15,10,0,35,120,64,1,59,9,10,0,30,4,"Desserts/Shakes"
