"","X","Serving.Size","Calories","Total.Fat..g.","Saturated.Fat..g.","Trans.Fat..g.","Cholesterol..mg.","Sodium..mg.","Carbohydrates..g.","Dietary.Fiber..g.","Sugars..g.","Protein..g.","Vitamin.A...DV.","Vitamin.C...DV.","Calcium....DV.","Iron....DV.","Type"
"27","Egg McMuffin",138,300,12,5,0,260,780,30,2,3,18,10,0,30,15,"Breakfast"
"28","Sausage McMuffin",114,370,22,8,0,45,820,29,2,2,14,6,2,25,15,"Breakfast"
"29","Sausage McMuffin with Egg",164,450,27,10,0,285,890,30,2,2,21,10,2,30,20,"Breakfast"
"30","Bacon, Egg & Cheese Biscuit (Regular Size Biscuit)",140,420,23,12,0,240,1130,38,2,3,15,10,0,15,15,"Breakfast"
"31","Sausage Biscuit (Regular Size Biscuit)",117,430,27,12,0,30,1080,34,2,2,11,0,0,6,15,"Breakfast"
"32","Sausage Biscuit with Egg (Regular Size Biscuit)",163,510,33,14,0,250,1170,36,2,2,18,6,0,10,20,"Breakfast"
"33","Bacon, Egg & Cheese McGriddles",164,410,18,8,0,240,1080,48,2,15,15,10,0,20,15,"Breakfast"
"34","Sausage McGriddles",141,420,22,8,0,35,1030,44,2,15,11,0,0,8,10,"Breakfast"
"35","Sausage, Egg & Cheese McGriddles",201,550,31,12,0,265,1320,48,2,15,20,10,0,20,15,"Breakfast"
"36","Big Breakfast (Regular Size Biscuit)",269,740,48,17,0,555,1560,51,3,3,28,15,2,15,25,"Breakfast"
"37","Big Breakfast with Hotcakes (Regular Size Biscuit)",420,1090,56,19,0,575,2150,111,6,17,36,15,2,25,40,"Breakfast"
"38","Cinnamon Melts",114,460,19,9,0,15,370,66,3,32,6,4,0,6,15,"Breakfast"
"39","Hotcakes",151,350,9,2,0,20,590,60,3,14,8,0,0,15,15,"Breakfast"
"40","Hotcakes and Sausage",192,520,24,7,0,50,930,61,3,14,15,0,0,15,15,"Breakfast"
"41","Bacon, Egg & Cheese Bagel",185,570,27,9,0.5,260,1230,56,3,7,24,20,2,20,20,"Breakfast"
"42","Southern Style Chicken Biscuit (Regular Size Biscuit)",143,410,20,8,0,30,1180,41,2,3,17,0,2,6,15,"Breakfast"
"43","Sausage Burrito",111,300,16,7,0,115,790,26,1,2,12,10,2,15,15,"Breakfast"
"44","Hash Brown",56,150,9,1.5,0,0,310,15,2,0,1,0,2,0,2,"Breakfast"
"45","Fruit & Maple Oatmeal",253,290,4.5,2,0,10,160,57,5,32,5,2,130,10,10,"Breakfast"
